contig window number,position in contig,number of reads starting in window,%GC content
NZ_LLJK01000017.1-4261,426100-426200,59,0.387229362047007
NZ_LLJK01000017.1-4262,426200-426300,57,0.383050277450816
NZ_LLJK01000017.1-4263,426300-426400,69,0.352052047155506
NZ_LLJK01000017.1-4264,426400-426500,64,0.369575584167859
NZ_LLJK01000017.1-4265,426500-426600,71,0.346010689062798
NZ_LLJK01000017.1-4266,426600-426700,50,0.334302944306492
NZ_LLJK01000017.1-4267,426700-426800,41,0.273116861710895
NZ_LLJK01000017.1-4268,426800-426900,49,0.249166435120867
NZ_LLJK01000017.1-4269,426900-427000,43,0.23988689026785
NZ_LLJK01000017.1-4270,427000-427100,43,0.253045119231429
NZ_LLJK01000017.1-4271,427100-427200,64,0.236356745831228
NZ_LLJK01000017.1-4272,427200-427300,62,0.269756931721021
NZ_LLJK01000017.1-4273,427300-427400,81,0.288786285323415
NZ_LLJK01000017.1-4274,427400-427500,70,0.308026645249681
NZ_LLJK01000017.1-4275,427500-427600,60,0.342282620704894
NZ_LLJK01000017.1-4276,427600-427700,65,0.352594408451526
NZ_LLJK01000017.1-4277,427700-427800,50,0.35430489423152
NZ_LLJK01000017.1-4278,427800-427900,50,0.313873845173622
NZ_LLJK01000017.1-4279,427900-428000,75,0.290916662810606
NZ_LLJK01000017.1-4280,428000-428100,63,0.287584922200307
NZ_LLJK01000017.1-4281,428100-428200,57,0.291689699649899
NZ_LLJK01000017.1-4282,428200-428300,49,0.268607922147039
NZ_LLJK01000017.1-4283,428300-428400,53,0.253763944145409
NZ_LLJK01000017.1-4284,428400-428500,43,0.287434221017382
NZ_LLJK01000017.1-4285,428500-428600,73,0.284062924058903
NZ_LLJK01000017.1-4286,428600-428700,54,0.331219694143976
NZ_LLJK01000017.1-4287,428700-428800,53,0.326695301314591
NZ_LLJK01000017.1-4288,428800-428900,60,0.329473266278454
NZ_LLJK01000017.1-4289,428900-429000,65,0.330679184740626
NZ_LLJK01000017.1-4290,429000-429100,61,0.345974883674388
NZ_LLJK01000017.1-4291,429100-429200,53,0.344038929440389
NZ_LLJK01000017.1-4292,429200-429300,55,0.345527004520581
NZ_LLJK01000017.1-4293,429300-429400,37,0.335464201416208
NZ_LLJK01000017.1-4294,429400-429500,41,0.292163611622509
NZ_LLJK01000017.1-4295,429500-429600,69,0.295976851594235
NZ_LLJK01000017.1-4296,429600-429700,61,0.321656434332491
NZ_LLJK01000017.1-4297,429700-429800,58,0.37616711504985
NZ_LLJK01000017.1-4298,429800-429900,37,0.383783783783784
NZ_LLJK01000017.1-4299,429900-430000,62,0.366282749019111
NZ_LLJK01000017.1-4300,430000-430100,97,0.341283313529112
NZ_LLJK01000017.1-4301,430100-430200,100,0.336040748898678
NZ_LLJK01000017.1-4302,430200-430300,51,0.343028419182948
NZ_LLJK01000017.1-4303,430300-430400,51,0.367806611255631
NZ_LLJK01000017.1-4304,430400-430500,61,0.404855389039429
NZ_LLJK01000017.1-4305,430500-430600,59,0.38633426663795
NZ_LLJK01000017.1-4306,430600-430700,29,0.356470177886292
NZ_LLJK01000017.1-4307,430700-430800,28,0.296692870696666
NZ_LLJK01000017.1-4308,430800-430900,44,0.276820294345469
NZ_LLJK01000017.1-4309,430900-431000,48,0.291835641594613
NZ_LLJK01000017.1-4310,431000-431100,61,0.302486622599937
NZ_LLJK01000017.1-4311,431100-431200,59,0.299655113925482
NZ_LLJK01000017.1-4312,431200-431300,40,0.267791249341065
NZ_LLJK01000017.1-4313,431300-431400,62,0.260360254297151
NZ_LLJK01000017.1-4314,431400-431500,70,0.253972158000885
NZ_LLJK01000017.1-4315,431500-431600,55,0.2599560224774
NZ_LLJK01000017.1-4316,431600-431700,83,0.278324674140917
NZ_LLJK01000017.1-4317,431700-431800,55,0.296771283108848
NZ_LLJK01000017.1-4318,431800-431900,58,0.317101610216546
NZ_LLJK01000017.1-4319,431900-432000,41,0.335680936931234
NZ_LLJK01000017.1-4320,432000-432100,74,0.345191952750092
NZ_LLJK01000017.1-4321,432100-432200,56,0.351577705691536
NZ_LLJK01000017.1-4322,432200-432300,76,0.357917383820998
NZ_LLJK01000017.1-4323,432300-432400,49,0.367551947158387
NZ_LLJK01000017.1-4324,432400-432500,43,0.352024681835711
NZ_LLJK01000017.1-4325,432500-432600,58,0.356763547079312
NZ_LLJK01000017.1-4326,432600-432700,71,0.343687072090213
NZ_LLJK01000017.1-4327,432700-432800,51,0.353579026834123
NZ_LLJK01000017.1-4328,432800-432900,44,0.350477818351332
NZ_LLJK01000017.1-4329,432900-433000,35,0.366888909756785
NZ_LLJK01000017.1-4330,433000-433100,37,0.335702569710224
NZ_LLJK01000017.1-4331,433100-433200,30,0.336870625423346
NZ_LLJK01000017.1-4332,433200-433300,102,0.319460018976969
NZ_LLJK01000017.1-4333,433300-433400,58,0.333536548192404
NZ_LLJK01000017.1-4334,433400-433500,48,0.341984532704155
NZ_LLJK01000017.1-4335,433500-433600,27,0.329545454545454
NZ_LLJK01000017.1-4336,433600-433700,84,0.303317158539496
NZ_LLJK01000017.1-4337,433700-433800,57,0.306164922938463
NZ_LLJK01000017.1-4338,433800-433900,51,0.28407796481458
NZ_LLJK01000017.1-4339,433900-434000,55,0.293354726567723
NZ_LLJK01000017.1-4340,434000-434100,63,0.31678378067043
NZ_LLJK01000017.1-4341,434100-434200,66,0.323951058131597
NZ_LLJK01000017.1-4342,434200-434300,61,0.349363895591138
NZ_LLJK01000017.1-4343,434300-434400,48,0.350076406883264
NZ_LLJK01000017.1-4344,434400-434500,58,0.327355971003434
NZ_LLJK01000017.1-4345,434500-434600,52,0.323298657523101
NZ_LLJK01000017.1-4346,434600-434700,51,0.323947317199766
NZ_LLJK01000017.1-4347,434700-434800,50,0.336275253395849
NZ_LLJK01000017.1-4348,434800-434900,56,0.34967877278091
NZ_LLJK01000017.1-4349,434900-435000,55,0.357918810748999
NZ_LLJK01000017.1-4350,435000-435100,74,0.362487595104201
NZ_LLJK01000017.1-4351,435100-435200,43,0.322131346667746
NZ_LLJK01000017.1-4352,435200-435300,50,0.285540704738761
NZ_LLJK01000017.1-4353,435300-435400,51,0.277166350411132
NZ_LLJK01000017.1-4354,435400-435500,82,0.277775578864041
NZ_LLJK01000017.1-4355,435500-435600,88,0.27646511627907
NZ_LLJK01000017.1-4356,435600-435700,67,0.294522230410219
NZ_LLJK01000017.1-4357,435700-435800,62,0.33989873699438
NZ_LLJK01000017.1-4358,435800-435900,78,0.38411491339248
NZ_LLJK01000017.1-4359,435900-436000,62,0.400327228585
NZ_LLJK01000017.1-4360,436000-436100,64,0.360960689931809
NZ_LLJK01000017.1-4361,436100-436200,66,0.332108634129388
NZ_LLJK01000017.1-4362,436200-436300,44,0.329161271759459
NZ_LLJK01000017.1-4363,436300-436400,43,0.357287373548145
NZ_LLJK01000017.1-4364,436400-436500,46,0.362262270575534
NZ_LLJK01000017.1-4365,436500-436600,45,0.389631843926998
NZ_LLJK01000017.1-4366,436600-436700,64,0.366195703555859
NZ_LLJK01000017.1-4367,436700-436800,65,0.349511614960271
NZ_LLJK01000017.1-4368,436800-436900,70,0.351550886928947
NZ_LLJK01000017.1-4369,436900-437000,63,0.333315525162945
NZ_LLJK01000017.1-4370,437000-437100,48,0.333710256751364
NZ_LLJK01000017.1-4371,437100-437200,71,0.315903510039
NZ_LLJK01000017.1-4372,437200-437300,50,0.329852045256745
NZ_LLJK01000017.1-4373,437300-437400,44,0.308766052484645
NZ_LLJK01000017.1-4374,437400-437500,51,0.329820864067439
NZ_LLJK01000017.1-4375,437500-437600,72,0.332381000969338
NZ_LLJK01000017.1-4376,437600-437700,64,0.355838751625488
NZ_LLJK01000017.1-4377,437700-437800,78,0.362376871946825
NZ_LLJK01000017.1-4378,437800-437900,54,0.339952857984679
NZ_LLJK01000017.1-4379,437900-438000,72,0.347627867217552
NZ_LLJK01000017.1-4380,438000-438100,49,0.36934101259041
NZ_LLJK01000017.1-4381,438100-438200,46,0.387018878969706
NZ_LLJK01000017.1-4382,438200-438300,53,0.393793678271462
NZ_LLJK01000017.1-4383,438300-438400,74,0.391044776119403
NZ_LLJK01000017.1-4384,438400-438500,71,0.361398719879518
NZ_LLJK01000017.1-4385,438500-438600,59,0.331042870173305
NZ_LLJK01000017.1-4386,438600-438700,53,0.307246561385634
NZ_LLJK01000017.1-4387,438700-438800,63,0.316207026822818
NZ_LLJK01000017.1-4388,438800-438900,48,0.338472270666202
NZ_LLJK01000017.1-4389,438900-439000,63,0.333920291131068
NZ_LLJK01000017.1-4390,439000-439100,49,0.347478527085637
NZ_LLJK01000017.1-4391,439100-439200,43,0.369104354971241
NZ_LLJK01000017.1-4392,439200-439300,68,0.362942862994061
NZ_LLJK01000017.1-4393,439300-439400,77,0.381258023106547
NZ_LLJK01000017.1-4394,439400-439500,59,0.397698136858299
NZ_LLJK01000017.1-4395,439500-439600,73,0.386780225884096
NZ_LLJK01000017.1-4396,439600-439700,51,0.36370275698375
NZ_LLJK01000017.1-4397,439700-439800,42,0.356660527931246
NZ_LLJK01000017.1-4398,439800-439900,56,0.35521799923732
NZ_LLJK01000017.1-4399,439900-440000,71,0.370051464766429
NZ_LLJK01000017.1-4400,440000-440100,71,0.389590581955102
NZ_LLJK01000017.1-4401,440100-440200,55,0.378291916595259
NZ_LLJK01000017.1-4402,440200-440300,49,0.380859864627726
NZ_LLJK01000017.1-4403,440300-440400,62,0.373369863013699
NZ_LLJK01000017.1-4404,440400-440500,57,0.378073941894831
NZ_LLJK01000017.1-4405,440500-440600,62,0.375600280580586
NZ_LLJK01000017.1-4406,440600-440700,48,0.391578801331853
NZ_LLJK01000017.1-4407,440700-440800,51,0.41200208279094
NZ_LLJK01000017.1-4408,440800-440900,63,0.41795371619933
NZ_LLJK01000017.1-4409,440900-441000,50,0.415895790069851
NZ_LLJK01000017.1-4410,441000-441100,57,0.403668710978507
NZ_LLJK01000017.1-4411,441100-441200,53,0.397154021111565
NZ_LLJK01000017.1-4412,441200-441300,54,0.394946888315429
NZ_LLJK01000017.1-4413,441300-441400,80,0.373972915398661
NZ_LLJK01000017.1-4414,441400-441500,56,0.372425561963046
NZ_LLJK01000017.1-4415,441500-441600,48,0.38448428659077
NZ_LLJK01000017.1-4416,441600-441700,47,0.403464654931545
NZ_LLJK01000017.1-4417,441700-441800,42,0.412122749175754
NZ_LLJK01000017.1-4418,441800-441900,35,0.382345001349771
NZ_LLJK01000017.1-4419,441900-442000,54,0.352919323880874
NZ_LLJK01000017.1-4420,442000-442100,81,0.335637823371989
NZ_LLJK01000017.1-4421,442100-442200,56,0.328789531079607
NZ_LLJK01000017.1-4422,442200-442300,44,0.301075268817204
NZ_LLJK01000017.1-4423,442300-442400,72,0.298980803483079
NZ_LLJK01000017.1-4424,442400-442500,69,0.321232385956532
NZ_LLJK01000017.1-4425,442500-442600,68,0.369577598481253
NZ_LLJK01000017.1-4426,442600-442700,47,0.357437135956812
NZ_LLJK01000017.1-4427,442700-442800,61,0.369156396090098
NZ_LLJK01000017.1-4428,442800-442900,51,0.373568053847647
NZ_LLJK01000017.1-4429,442900-443000,65,0.409789193118488
NZ_LLJK01000017.1-4430,443000-443100,62,0.445068764381656
NZ_LLJK01000017.1-4431,443100-443200,60,0.449432096081735
NZ_LLJK01000017.1-4432,443200-443300,62,0.402231324781718
NZ_LLJK01000017.1-4433,443300-443400,74,0.372391174716756
NZ_LLJK01000017.1-4434,443400-443500,58,0.322408627920911
NZ_LLJK01000017.1-4435,443500-443600,53,0.299708643573972
NZ_LLJK01000017.1-4436,443600-443700,75,0.298208232445521
NZ_LLJK01000017.1-4437,443700-443800,81,0.336675892735605
NZ_LLJK01000017.1-4438,443800-443900,52,0.407666603618939
NZ_LLJK01000017.1-4439,443900-444000,74,0.423145268769436
NZ_LLJK01000017.1-4440,444000-444100,80,0.415106468461229
NZ_LLJK01000017.1-4441,444100-444200,62,0.395352513436611
NZ_LLJK01000017.1-4442,444200-444300,70,0.381573840481273
NZ_LLJK01000017.1-4443,444300-444400,59,0.332030364831181
NZ_LLJK01000017.1-4444,444400-444500,76,0.285281404571989
NZ_LLJK01000017.1-4445,444500-444600,54,0.311760925449871
NZ_LLJK01000017.1-4446,444600-444700,67,0.350903761602345
NZ_LLJK01000017.1-4447,444700-444800,81,0.36133349755717
NZ_LLJK01000017.1-4448,444800-444900,44,0.308984313104104
NZ_LLJK01000017.1-4449,444900-445000,42,0.25195522159178
NZ_LLJK01000017.1-4450,445000-445100,53,0.246338978734242
NZ_LLJK01000017.1-4451,445100-445200,53,0.271417133706966
NZ_LLJK01000017.1-4452,445200-445300,68,0.320888097606954
NZ_LLJK01000017.1-4453,445300-445400,65,0.333471933471933
NZ_LLJK01000017.1-4454,445400-445500,64,0.30381644183097
NZ_LLJK01000017.1-4455,445500-445600,72,0.280266290450578
NZ_LLJK01000017.1-4456,445600-445700,48,0.278813964610234
NZ_LLJK01000017.1-4457,445700-445800,53,0.310589519650655
NZ_LLJK01000017.1-4458,445800-445900,75,0.319135860830103
NZ_LLJK01000017.1-4459,445900-446000,71,0.333838144817795
NZ_LLJK01000017.1-4460,446000-446100,55,0.314297380855159
NZ_LLJK01000017.1-4461,446100-446200,66,0.308940568475452
NZ_LLJK01000017.1-4462,446200-446300,77,0.333960080995082
NZ_LLJK01000017.1-4463,446300-446400,51,0.34128826345568
NZ_LLJK01000017.1-4464,446400-446500,43,0.331837200456447
NZ_LLJK01000017.1-4465,446500-446600,76,0.312333005203206
NZ_LLJK01000017.1-4466,446600-446700,70,0.308271069543863
NZ_LLJK01000017.1-4467,446700-446800,70,0.300982449446776
NZ_LLJK01000017.1-4468,446800-446900,41,0.318732609281034
NZ_LLJK01000017.1-4469,446900-447000,62,0.305371057999059
NZ_LLJK01000017.1-4470,447000-447100,47,0.325771324863884
NZ_LLJK01000017.1-4471,447100-447200,56,0.339265278095674
NZ_LLJK01000017.1-4472,447200-447300,40,0.359572476205336
NZ_LLJK01000017.1-4473,447300-447400,69,0.418742909008396
NZ_LLJK01000017.1-4474,447400-447500,65,0.440795116290803
NZ_LLJK01000017.1-4475,447500-447600,49,0.429684180710947
NZ_LLJK01000017.1-4476,447600-447700,50,0.39331851646062
NZ_LLJK01000017.1-4477,447700-447800,77,0.385719886307949
NZ_LLJK01000017.1-4478,447800-447900,81,0.3812064205157
NZ_LLJK01000017.1-4479,447900-448000,52,0.392868028040232
NZ_LLJK01000017.1-4480,448000-448100,37,0.383473208521627
NZ_LLJK01000017.1-4481,448100-448200,82,0.381029883810299
NZ_LLJK01000017.1-4482,448200-448300,59,0.36539673446004
NZ_LLJK01000017.1-4483,448300-448400,61,0.350298889837746
NZ_LLJK01000017.1-4484,448400-448500,67,0.350857304803741
NZ_LLJK01000017.1-4485,448500-448600,70,0.348804047838086
NZ_LLJK01000017.1-4486,448600-448700,83,0.373823645709767
NZ_LLJK01000017.1-4487,448700-448800,40,0.39245659217413
NZ_LLJK01000017.1-4488,448800-448900,51,0.428689484195303
NZ_LLJK01000017.1-4489,448900-449000,62,0.438468599816405
NZ_LLJK01000017.1-4490,449000-449100,61,0.419698173153296
NZ_LLJK01000017.1-4491,449100-449200,54,0.404889752084999
NZ_LLJK01000017.1-4492,449200-449300,34,0.388799087192165
NZ_LLJK01000017.1-4493,449300-449400,66,0.366781481106271
NZ_LLJK01000017.1-4494,449400-449500,62,0.348776931799773
NZ_LLJK01000017.1-4495,449500-449600,71,0.334680753330271
NZ_LLJK01000017.1-4496,449600-449700,75,0.354328805530043
NZ_LLJK01000017.1-4497,449700-449800,60,0.396313660008991
NZ_LLJK01000017.1-4498,449800-449900,53,0.421980465337886
NZ_LLJK01000017.1-4499,449900-450000,69,0.425268989027378
NZ_LLJK01000017.1-4500,450000-450100,61,0.380340472267985
NZ_LLJK01000017.1-4501,450100-450200,55,0.385470976711853
NZ_LLJK01000017.1-4502,450200-450300,39,0.385324878530841
NZ_LLJK01000017.1-4503,450300-450400,68,0.395632107341676
NZ_LLJK01000017.1-4504,450400-450500,52,0.355065728322932
NZ_LLJK01000017.1-4505,450500-450600,57,0.329928624169333
NZ_LLJK01000017.1-4506,450600-450700,74,0.297902920232573
NZ_LLJK01000017.1-4507,450700-450800,39,0.316333378070058
NZ_LLJK01000017.1-4508,450800-450900,85,0.317963030376572
NZ_LLJK01000017.1-4509,450900-451000,100,0.336936187902723
NZ_LLJK01000017.1-4510,451000-451100,66,0.361776542736681
NZ_LLJK01000017.1-4511,451100-451200,64,0.363184367231312
NZ_LLJK01000017.1-4512,451200-451300,73,0.406786409485047
NZ_LLJK01000017.1-4513,451300-451400,66,0.401383913235511
NZ_LLJK01000017.1-4514,451400-451500,58,0.421571982660278
NZ_LLJK01000017.1-4515,451500-451600,59,0.386431165401122
NZ_LLJK01000017.1-4516,451600-451700,79,0.384237496294414
NZ_LLJK01000017.1-4517,451700-451800,74,0.374451729595297
NZ_LLJK01000017.1-4518,451800-451900,85,0.390816970416837
NZ_LLJK01000017.1-4519,451900-452000,66,0.40047141470629
NZ_LLJK01000017.1-4520,452000-452100,55,0.396286231884058
NZ_LLJK01000017.1-4521,452100-452200,60,0.395860742839794
NZ_LLJK01000017.1-4522,452200-452300,58,0.405668922158879
NZ_LLJK01000017.1-4523,452300-452400,54,0.415617759408855
NZ_LLJK01000017.1-4524,452400-452500,66,0.429567575420077
NZ_LLJK01000017.1-4525,452500-452600,57,0.414999711765723
NZ_LLJK01000017.1-4526,452600-452700,51,0.371510468594217
NZ_LLJK01000017.1-4527,452700-452800,74,0.346817691477886
NZ_LLJK01000017.1-4528,452800-452900,63,0.354144405434285
NZ_LLJK01000017.1-4529,452900-453000,74,0.37234692986287
NZ_LLJK01000017.1-4530,453000-453100,74,0.394412979602266
NZ_LLJK01000017.1-4531,453100-453200,63,0.407675369613086
NZ_LLJK01000017.1-4532,453200-453300,71,0.400466528761938
NZ_LLJK01000017.1-4533,453300-453400,58,0.406812652068127
NZ_LLJK01000017.1-4534,453400-453500,54,0.404560862865948
NZ_LLJK01000017.1-4535,453500-453600,48,0.421699796126402
NZ_LLJK01000017.1-4536,453600-453700,55,0.434590803687574
NZ_LLJK01000017.1-4537,453700-453800,59,0.422434367541766
NZ_LLJK01000017.1-4538,453800-453900,50,0.389189533329089
NZ_LLJK01000017.1-4539,453900-454000,62,0.36977474550574
NZ_LLJK01000017.1-4540,454000-454100,52,0.336514556099126
NZ_LLJK01000017.1-4541,454100-454200,45,0.341427583823021
NZ_LLJK01000017.1-4542,454200-454300,59,0.324409882320556
NZ_LLJK01000017.1-4543,454300-454400,49,0.313685989082402
NZ_LLJK01000017.1-4544,454400-454500,35,0.279282753301841
NZ_LLJK01000017.1-4545,454500-454600,42,0.242814103086068
NZ_LLJK01000017.1-4546,454600-454700,38,0.291760376201186
NZ_LLJK01000017.1-4547,454700-454800,77,0.372605640581384
NZ_LLJK01000017.1-4548,454800-454900,59,0.451584813653779
NZ_LLJK01000017.1-4549,454900-455000,35,0.470951904718611
NZ_LLJK01000017.1-4550,455000-455100,47,0.452090768298431
NZ_LLJK01000017.1-4551,455100-455200,77,0.450796086706311
NZ_LLJK01000017.1-4552,455200-455300,53,0.447600096478534
NZ_LLJK01000017.1-4553,455300-455400,63,0.450323711239838
NZ_LLJK01000017.1-4554,455400-455500,72,0.44781990521327
NZ_LLJK01000017.1-4555,455500-455600,74,0.472248221639835
NZ_LLJK01000017.1-4556,455600-455700,47,0.468615709756957
NZ_LLJK01000017.1-4557,455700-455800,57,0.463327475102519
NZ_LLJK01000017.1-4558,455800-455900,88,0.436756064486967
NZ_LLJK01000017.1-4559,455900-456000,69,0.408796835001164
NZ_LLJK01000017.1-4560,456000-456100,56,0.378630872483222
NZ_LLJK01000017.1-4561,456100-456200,40,0.317531800584657
NZ_LLJK01000017.1-4562,456200-456300,55,0.312374703845453
NZ_LLJK01000017.1-4563,456300-456400,40,0.313443921762813
NZ_LLJK01000017.1-4564,456400-456500,46,0.328686985410949
NZ_LLJK01000017.1-4565,456500-456600,76,0.313887334452528
NZ_LLJK01000017.1-4566,456600-456700,58,0.296939427376735
NZ_LLJK01000017.1-4567,456700-456800,50,0.273989136994568
NZ_LLJK01000017.1-4568,456800-456900,64,0.274350917810484
NZ_LLJK01000017.1-4569,456900-457000,60,0.270025031289111
NZ_LLJK01000017.1-4570,457000-457100,56,0.27284760243066
NZ_LLJK01000017.1-4571,457100-457200,36,0.26861451460886
NZ_LLJK01000017.1-4572,457200-457300,32,0.279979212680265
NZ_LLJK01000017.1-4573,457300-457400,52,0.279288256227758
NZ_LLJK01000017.1-4574,457400-457500,82,0.282964057114722
NZ_LLJK01000017.1-4575,457500-457600,52,0.289759112120066
NZ_LLJK01000017.1-4576,457600-457700,51,0.300943204179955
NZ_LLJK01000017.1-4577,457700-457800,74,0.304319371727749
NZ_LLJK01000017.1-4578,457800-457900,50,0.313752276867031
NZ_LLJK01000017.1-4579,457900-458000,61,0.350589635399762
NZ_LLJK01000017.1-4580,458000-458100,59,0.360152410403667
NZ_LLJK01000017.1-4581,458100-458200,44,0.370612551672304
NZ_LLJK01000017.1-4582,458200-458300,46,0.353385330235646
NZ_LLJK01000017.1-4583,458300-458400,58,0.35865511189118
NZ_LLJK01000017.1-4584,458400-458500,59,0.350557061126167
NZ_LLJK01000017.1-4585,458500-458600,59,0.328096539162113
NZ_LLJK01000017.1-4586,458600-458700,81,0.32704455844321
NZ_LLJK01000017.1-4587,458700-458800,54,0.341201716738197
NZ_LLJK01000017.1-4588,458800-458900,62,0.360653932955359
NZ_LLJK01000017.1-4589,458900-459000,64,0.383599759943259
NZ_LLJK01000017.1-4590,459000-459100,61,0.385289151540734
NZ_LLJK01000017.1-4591,459100-459200,66,0.386813413940991
NZ_LLJK01000017.1-4592,459200-459300,52,0.411103633916554
NZ_LLJK01000017.1-4593,459300-459400,49,0.385169577924285
NZ_LLJK01000017.1-4594,459400-459500,48,0.346214966772609
NZ_LLJK01000017.1-4595,459500-459600,71,0.310920234420436
NZ_LLJK01000017.1-4596,459600-459700,76,0.314027392355205
NZ_LLJK01000017.1-4597,459700-459800,64,0.326093280325802
NZ_LLJK01000017.1-4598,459800-459900,60,0.342134277258748
NZ_LLJK01000017.1-4599,459900-460000,69,0.364594209776934
NZ_LLJK01000017.1-4600,460000-460100,52,0.367029837811068
NZ_LLJK01000017.1-4601,460100-460200,45,0.38559765543228
NZ_LLJK01000017.1-4602,460200-460300,64,0.392500117332332
NZ_LLJK01000017.1-4603,460300-460400,59,0.383138697808351
NZ_LLJK01000017.1-4604,460400-460500,53,0.384073543457498
NZ_LLJK01000017.1-4605,460500-460600,58,0.380036044416022
NZ_LLJK01000017.1-4606,460600-460700,51,0.374610177226744
NZ_LLJK01000017.1-4607,460700-460800,46,0.367977935839744
NZ_LLJK01000017.1-4608,460800-460900,44,0.316188140239504
NZ_LLJK01000017.1-4609,460900-461000,39,0.302452080815058
NZ_LLJK01000017.1-4610,461000-461100,37,0.302928337577301
NZ_LLJK01000017.1-4611,461100-461200,19,0.284685682636389
NZ_LLJK01000017.1-4613,461300-461400,1,0.333333333333333
NZ_LLJK01000018.1-0,0-100,1,0.464285714285714
NZ_LLJK01000018.1-15,1500-1600,1,0.333333333333333
NZ_LLJK01000018.1-17,1700-1800,1,0.294117647058824
NZ_LLJK01000018.1-19,1900-2000,3,0.102564102564103
NZ_LLJK01000018.1-28,2800-2900,1,0.583333333333333
NZ_LLJK01000018.1-29,2900-3000,1,0.230769230769231
NZ_LLJK01000018.1-30,3000-3100,1,0.5
NZ_LLJK01000018.1-33,3300-3400,1,0.111111111111111
NZ_LLJK01000018.1-43,4300-4400,1,0.076923076923077
NZ_LLJK01000018.1-45,4500-4600,1,0.166666666666667
NZ_LLJK01000018.1-58,5800-5900,1,0.041666666666667
NZ_LLJK01000018.1-61,6100-6200,1,0.2
NZ_LLJK01000018.1-67,6700-6800,6,0.032258064516129
NZ_LLJK01000018.1-69,6900-7000,1,0.230769230769231
NZ_LLJK01000018.1-71,7100-7200,1,0.346153846153846
NZ_LLJK01000018.1-76,7600-7700,1,0.266666666666667
NZ_LLJK01000018.1-78,7800-7900,1,0.1
NZ_LLJK01000018.1-81,8100-8200,1,0.25
NZ_LLJK01000018.1-82,8200-8300,1,0.307692307692308
NZ_LLJK01000018.1-96,9600-9700,1,0.222222222222222
NZ_LLJK01000018.1-102,10200-10300,1,0.461538461538462
NZ_LLJK01000018.1-103,10300-10400,1,0.25
NZ_LLJK01000018.1-104,10400-10500,1,0.307692307692308
NZ_LLJK01000018.1-112,11200-11300,1,0.181818181818182
NZ_LLJK01000018.1-115,11500-11600,1,0.272727272727273
NZ_LLJK01000018.1-126,12600-12700,2,0.24
NZ_LLJK01000018.1-127,12700-12800,1,0.125
NZ_LLJK01000018.1-129,12900-13000,1,0.5
NZ_LLJK01000018.1-131,13100-13200,2,0.333333333333333
NZ_LLJK01000018.1-137,13700-13800,2,0.291666666666667
NZ_LLJK01000018.1-142,14200-14300,1,0.666666666666667
NZ_LLJK01000018.1-148,14800-14900,1,0.3
NZ_LLJK01000018.1-150,15000-15100,1,0.5
NZ_LLJK01000018.1-156,15600-15700,1,0.25
NZ_LLJK01000018.1-158,15800-15900,1,0.357142857142857
NZ_LLJK01000018.1-162,16200-16300,1,0.166666666666667
NZ_LLJK01000018.1-166,16600-16700,1,0.166666666666667
NZ_LLJK01000018.1-170,17000-17100,1,0.2
NZ_LLJK01000018.1-181,18100-18200,1,0.230769230769231
NZ_LLJK01000018.1-202,20200-20300,1,0.285714285714286
NZ_LLJK01000018.1-204,20400-20500,1,0.125
NZ_LLJK01000018.1-205,20500-20600,1,0.25
NZ_LLJK01000018.1-206,20600-20700,1,0.166666666666667
NZ_LLJK01000018.1-207,20700-20800,1,0.181818181818182
NZ_LLJK01000018.1-215,21500-21600,1,0.117647058823529
NZ_LLJK01000018.1-220,22000-22100,1,0
NZ_LLJK01000018.1-227,22700-22800,1,0.4375
NZ_LLJK01000018.1-228,22800-22900,4,0.407523510971787
NZ_LLJK01000018.1-229,22900-23000,33,0.402823315118397
NZ_LLJK01000018.1-230,23000-23100,7,0.376169681846538
NZ_LLJK01000018.1-231,23100-23200,2,0.353333333333333
NZ_LLJK01000019.1-0,0-100,72,0.29901149528112
NZ_LLJK01000019.1-1,100-200,47,0.271933685446009
NZ_LLJK01000019.1-2,200-300,53,0.257832100353811
NZ_LLJK01000019.1-3,300-400,40,0.242709232096635
NZ_LLJK01000019.1-4,400-500,57,0.276504693539481
NZ_LLJK01000019.1-5,500-600,48,0.27854205077294
NZ_LLJK01000019.1-6,600-700,51,0.312924314810158
NZ_LLJK01000019.1-7,700-800,56,0.350998777007746
NZ_LLJK01000019.1-8,800-900,57,0.347551067780873
NZ_LLJK01000019.1-9,900-1000,51,0.315189791002018
NZ_LLJK01000019.1-10,1000-1100,68,0.252861089187056
NZ_LLJK01000019.1-11,1100-1200,52,0.270081333602205
NZ_LLJK01000019.1-12,1200-1300,42,0.309345129947073
NZ_LLJK01000019.1-13,1300-1400,74,0.336570021881838
NZ_LLJK01000019.1-14,1400-1500,64,0.337129610965531
NZ_LLJK01000019.1-15,1500-1600,45,0.335447096544353
NZ_LLJK01000019.1-16,1600-1700,50,0.344253632760898
NZ_LLJK01000019.1-17,1700-1800,57,0.371630881681133
NZ_LLJK01000019.1-18,1800-1900,54,0.364414261460102
NZ_LLJK01000019.1-19,1900-2000,40,0.353237863640458
NZ_LLJK01000019.1-20,2000-2100,56,0.33745494871084
NZ_LLJK01000019.1-21,2100-2200,40,0.343331680713932
NZ_LLJK01000019.1-22,2200-2300,60,0.344114799840556
NZ_LLJK01000019.1-23,2300-2400,79,0.320513382101713
NZ_LLJK01000019.1-24,2400-2500,67,0.303955551024569
